type,name,longitude,latitude
banks,Agricultural Development Bank,85.31272,27.712962
banks,Agricultural Development Bank,84.570473,27.612046
banks,Agriucltural Development Bank Limited,86.048514,27.665639
banks,Agricultural Development Bank Limited,85.422171,27.671916
,,,
market,Kalimati Fruits & Vegetable Market Development Board,85.299876,27.699523
market,Balkhu Vegetable Market,85.298673,27.683825
market,Vegetable Market,84.42467,27.691799
market,Dhikure Bazaar,85.206218,27.899171
market,Dhanalaxmi Fruits & Vegetable Shop,85.165305,27.915509
,,,
,,,
,,,
organizations,,,
,,,
,,,
suppliers,Machhapurchhre Seed & Agro Chemicals Pvt. Ltd.,85.282232,27.708019
