district,rice,wheat,maize,barley,millet
bhaktapur,24400,10500,7605,47,156
chitwan,92925,20119,26200,42,1630
dhading,41369,10220,37538,330,7095
dolakha,6500,6979,12650,165,4250
kathmandu,40200,12480,33650,4,860
kavrepalanchowk,33975,21177,60849,707,4042
lalitpur,21166,7800,27485,29,575
makwanpur,35500,12280,70956,236,3306
nuwakot,62627,13306,63800,157,6000
ramechhap,21654,8089,48462,68,5100
rasuwa,2520,1363,3850,336,902
sindhuli,35900,14125,58500,85,11880
sindupalchowk,20125,7074,40890,193,20270
