district,year,month,max_temp,min_temp,rh_max,rh_min,rh_avg,rainfall,,rice_yield,maize_yield,wheat_yield,plant_rice,plant_maize,plant_wheat
Kathmandu,2013,1,28.5,4.8,100,58.9,83.009,13.2,,0,0,3342,no,no,yes
Kathmandu,2013,2,22.4,7.1,97.7,65.5,76.8901194,25.5,,0,3381,3342,no,yes,yes
Kathmandu,2013,3,28.6,14,97.7,58.5,84.63770492,0,,0,3381,0,no,yes,no
Kathmandu,2013,4,27.7,14.5,96.5,14.4,85.94666667,12.2,,0,3381,0,no,yes,no
Kathmandu,2013,5,30.9,13.6,98.2,57,82.08741927,201,,0,3381,0,no,yes,no
Kathmandu,2013,6,30.6,15.1,96.9,66.9,84.02333333,187.3,,6101,3381,0,yes,yes,no
Kathmandu,2013,7,29.4,20.6,97.4,80.1,88.01451613,289,,6101,3381,0,yes,yes,no
Kathmandu,2013,8,30,21.2,96.8,75.9,86.55645161,346.3,,6101,0,0,yes,no,no
Kathmandu,2013,9,30,18.4,98.3,62.6,87.4559322,113.6,,6101,0,0,yes,no,no
Kathmandu,2013,10,26.7,17.9,92.4,62.6,83.92419355,107.9,,0,0,0,no,no,no
Kathmandu,2013,11,24.2,9.3,90.9,63.1,81.09098361,0,,0,0,3342,no,no,yes
Kathmandu,2013,12,23,6.7,93.4,63.6,80.77282609,0,,0,0,3342,no,no,yes
Kathmandu,2014,1,18.8,4.7,100,58.9,83.009,0,,0,0,3342,no,no,yes
Kathmandu,2014,2,17.3,6.2,97.7,65.5,76.8901194,15.4,,0,3381,3342,no,yes,yes
Kathmandu,2014,3,23.9,9.9,97.7,58.5,84.63770492,22.8,,0,3381,0,no,yes,no
Kathmandu,2014,4,29.6,14.1,96.5,14.4,85.94666667,7.3,,0,3381,0,no,yes,no
Kathmandu,2014,5,30.5,17.8,98.2,57,82.08741927,92,,0,3381,0,no,yes,no
Kathmandu,2014,6,30,19.1,96.9,66.9,84.02333333,203.6,,6101,3381,0,yes,yes,no
Kathmandu,2014,7,29.7,19.6,97.4,80.1,88.01451613,479.8,,6101,3381,0,yes,yes,no
Kathmandu,2014,8,30.1,20.5,96.8,75.9,86.55645161,357.2,,6101,0,0,yes,no,no
Kathmandu,2014,9,28.2,18.7,98.3,62.6,87.4559322,349.1,,6101,0,0,yes,no,no
Kathmandu,2014,10,26.1,15.6,92.4,62.6,83.92419355,75.7,,0,0,0,no,no,no
Kathmandu,2014,11,24.9,11.7,90.9,63.1,81.09098361,0,,0,0,3342,no,no,yes
Kathmandu,2014,12,21.9,7,93.4,63.6,80.77282609,24.9,,0,0,3342,no,no,yes
Kathmandu,2015,1,21.1,7.3,100,58.9,83.009,13.8,,0,0,3342,no,no,yes
Kathmandu,2015,2,25.9,9,97.7,65.5,76.8901194,20,,0,3381,3342,no,yes,yes
Kathmandu,2015,3,26.9,11.4,97.7,58.5,84.63770492,97.1,,0,3381,0,no,yes,no
Kathmandu,2015,4,29.5,14.3,96.5,14.4,85.94666667,39.6,,0,3381,0,no,yes,no
Kathmandu,2015,5,31.1,17.6,98.2,57,82.08741927,23.8,,0,3381,0,no,yes,no
Kathmandu,2015,6,32.2,21.1,96.9,66.9,84.02333333,181.9,,6101,3381,0,yes,yes,no
Kathmandu,2015,7,30.8,21.3,97.4,80.1,88.01451613,489.6,,6101,3381,0,yes,yes,no
Kathmandu,2015,8,30.1,19.7,96.8,75.9,86.55645161,483.6,,6101,0,0,yes,no,no
Kathmandu,2015,9,30.7,19.7,98.3,62.6,87.4559322,139.3,,6101,0,0,yes,no,no
Kathmandu,2015,10,30.5,18.5,92.4,62.6,83.92419355,18.4,,0,0,0,no,no,no
Kathmandu,2015,11,30.2,10.5,90.9,63.1,81.09098361,0,,0,0,3200,no,no,yes
Kathmandu,2015,12,25.7,5.8,93.4,63.6,80.77282609,0,,0,0,3200,no,no,yes
Kathmandu,2016,1,25.5,3.8,100,58.9,83.009,0,,0,0,3200,no,no,yes
Kathmandu,2016,2,28.8,5.2,97.7,65.5,76.8901194,20.2,,0,3391,3200,no,yes,yes
Kathmandu,2016,3,28.9,10.9,97.7,58.5,84.63770492,1.7,,0,3391,0,no,yes,no
Kathmandu,2016,4,30.7,14.4,96.5,14.4,85.94666667,12.8,,0,3391,0,no,yes,no
Kathmandu,2016,5,32.3,16.1,98.2,57,82.08741927,108.1,,0,3391,0,no,yes,no
Kathmandu,2016,6,33.2,18.7,96.9,66.9,84.02333333,305.1,,5085,3391,0,yes,yes,no
Kathmandu,2016,7,33,20.6,97.4,80.1,88.01451613,489.7,,5085,3391,0,yes,yes,no
Kathmandu,2016,8,34.4,21.2,96.8,75.9,86.55645161,233.7,,5085,0,0,yes,no,no
Kathmandu,2016,9,31,20.4,98.3,62.6,87.4559322,0,,5085,0,0,yes,no,no
Kathmandu,2016,10,29.6,16.6,92.4,62.6,83.92419355,57.8,,0,0,0,no,no,no
Kathmandu,2016,11,26.7,9.2,90.9,63.1,81.09098361,0,,0,0,3200,no,no,yes
Kathmandu,2016,12,23.2,7.3,93.4,63.6,80.77282609,0,,0,0,3200,no,no,yes
Kathmandu,2017,1,26,4.5,100,58.9,83.009,10.1,,0,0,3200,no,no,yes
Kathmandu,2017,2,28.3,6,97.7,65.5,76.8901194,0,,0,3391,3200,no,yes,yes
Kathmandu,2017,3,29.9,8.8,97.7,58.5,84.63770492,79.6,,0,3391,0,no,yes,no
Kathmandu,2017,4,31,12.6,96.5,14.4,85.94666667,60.1,,0,3391,0,no,yes,no
Kathmandu,2017,5,30.8,16.2,98.2,57,82.08741927,165.3,,0,3391,0,no,yes,no
Kathmandu,2017,6,32.3,20.8,96.9,66.9,84.02333333,183.2,,5085,3391,0,yes,yes,no
Kathmandu,2017,7,31.5,21.2,97.4,80.1,88.01451613,414.5,,5085,3391,0,yes,yes,no
Kathmandu,2017,8,31.1,21.2,96.8,75.9,86.55645161,314.1,,5085,0,0,yes,no,no
Kathmandu,2017,9,30.6,20.6,98.3,62.6,87.4559322,84.6,,5085,0,0,yes,no,no
Kathmandu,2017,10,30.4,18.6,92.4,62.6,83.92419355,58,,0,0,0,no,no,no
Kathmandu,2017,11,26.3,8,90.9,63.1,81.09098361,0,,0,0,3200,no,no,yes
Kathmandu,2017,12,22.7,5,93.4,63.6,80.77282609,0,,0,0,3200,no,no,yes
